InstanceType,vCPU,memory,savings_on_demand,freq_interruption,os,zone
g3.4xlarge,16,122.0,66%,15-20%,Linux/UNIX,us-west-2
g3.8xlarge,32,244.0,70%,>20%,Linux/UNIX,us-west-2
g3.16xlarge,64,488.0,70%,>20%,Linux/UNIX,us-west-2
g3s.xlarge,4,30.5,69%,>20%,Linux/UNIX,us-west-2
h1.2xlarge,8,32.0,65%,>20%,Linux/UNIX,us-west-2
i2.xlarge,4,30.5,70%,>20%,Linux/UNIX,us-west-2
i2.2xlarge,8,61.0,70%,>20%,Linux/UNIX,us-west-2
i2.4xlarge,16,122.0,70%,5-10%,Linux/UNIX,us-west-2
i2.8xlarge,32,244.0,70%,>20%,Linux/UNIX,us-west-2
i3.large,2,15.25,70%,<5%,Linux/UNIX,us-west-2
i3.xlarge,4,30.5,70%,<5%,Linux/UNIX,us-west-2
i3.2xlarge,8,61.0,70%,<5%,Linux/UNIX,us-west-2
i3.4xlarge,16,122.0,70%,<5%,Linux/UNIX,us-west-2
i3.8xlarge,32,244.0,70%,<5%,Linux/UNIX,us-west-2
i3.16xlarge,64,488.0,70%,<5%,Linux/UNIX,us-west-2
i3.metal,72,512.0,70%,<5%,Linux/UNIX,us-west-2
m1.small,1,1.7,90%,<5%,Linux/UNIX,us-west-2
m1.medium,1,3.75,90%,<5%,Linux/UNIX,us-west-2
m1.large,2,7.5,90%,<5%,Linux/UNIX,us-west-2
m1.xlarge,4,15.0,90%,<5%,Linux/UNIX,us-west-2
m2.xlarge,2,17.1,90%,<5%,Linux/UNIX,us-west-2
m2.2xlarge,4,34.2,90%,<5%,Linux/UNIX,us-west-2
m2.4xlarge,8,68.4,90%,<5%,Linux/UNIX,us-west-2
m3.medium,1,3.75,90%,<5%,Linux/UNIX,us-west-2
m3.large,2,7.5,77%,<5%,Linux/UNIX,us-west-2
m3.xlarge,4,15.0,77%,<5%,Linux/UNIX,us-west-2
m3.2xlarge,8,30.0,77%,<5%,Linux/UNIX,us-west-2
m4.large,2,8.0,68%,<5%,Linux/UNIX,us-west-2
m4.xlarge,4,16.0,67%,<5%,Linux/UNIX,us-west-2
m4.2xlarge,8,32.0,68%,<5%,Linux/UNIX,us-west-2
m4.4xlarge,16,64.0,60%,>20%,Linux/UNIX,us-west-2
m4.10xlarge,40,160.0,68%,<5%,Linux/UNIX,us-west-2
m4.16xlarge,64,256.0,67%,5-10%,Linux/UNIX,us-west-2
m5.large,2,8.0,65%,<5%,Linux/UNIX,us-west-2
m5.xlarge,4,16.0,65%,<5%,Linux/UNIX,us-west-2
m5.2xlarge,8,32.0,65%,<5%,Linux/UNIX,us-west-2
m5.4xlarge,16,64.0,65%,15-20%,Linux/UNIX,us-west-2
m5.12xlarge,48,192.0,65%,5-10%,Linux/UNIX,us-west-2
m5.24xlarge,96,384.0,65%,<5%,Linux/UNIX,us-west-2
m5.metal,96,384.0,77%,<5%,Linux/UNIX,us-west-2
m5a.large,2,8.0,61%,>20%,Linux/UNIX,us-west-2
m5a.xlarge,4,16.0,61%,>20%,Linux/UNIX,us-west-2
m5a.2xlarge,8,32.0,61%,>20%,Linux/UNIX,us-west-2
m5a.4xlarge,16,64.0,61%,>20%,Linux/UNIX,us-west-2
m5a.12xlarge,48,192.0,0%,<5%,Linux/UNIX,us-west-2
m5a.24xlarge,96,384.0,61%,>20%,Linux/UNIX,us-west-2
m5ad.large,2,8.0,67%,10-15%,Linux/UNIX,us-west-2
m5ad.xlarge,4,16.0,2%,<5%,Linux/UNIX,us-west-2
m5ad.2xlarge,8,32.0,0%,<5%,Linux/UNIX,us-west-2
m5ad.4xlarge,16,64.0,0%,<5%,Linux/UNIX,us-west-2
m5ad.12xlarge,48,192.0,0%,<5%,Linux/UNIX,us-west-2
m5ad.24xlarge,96,384.0,67%,15-20%,Linux/UNIX,us-west-2
m5d.large,2,8.0,70%,5-10%,Linux/UNIX,us-west-2
m5d.xlarge,4,16.0,70%,<5%,Linux/UNIX,us-west-2
m5d.2xlarge,8,32.0,69%,>20%,Linux/UNIX,us-west-2
m5d.4xlarge,16,64.0,70%,>20%,Linux/UNIX,us-west-2
m5d.12xlarge,48,192.0,63%,>20%,Linux/UNIX,us-west-2
m5d.24xlarge,96,384.0,70%,>20%,Linux/UNIX,us-west-2
m5d.metal,96,384.0,80%,>20%,Linux/UNIX,us-west-2
p2.xlarge,4,61.0,69%,5-10%,Linux/UNIX,us-west-2
p2.8xlarge,32,488.0,70%,>20%,Linux/UNIX,us-west-2
p2.16xlarge,64,768.0,70%,>20%,Linux/UNIX,us-west-2
p3.2xlarge,8,61.0,67%,>20%,Linux/UNIX,us-west-2
p3.8xlarge,32,244.0,70%,>20%,Linux/UNIX,us-west-2
p3.16xlarge,64,488.0,70%,5-10%,Linux/UNIX,us-west-2
p3dn.24xlarge,96,768.0,70%,15-20%,Linux/UNIX,us-west-2
r3.large,2,15.25,81%,5-10%,Linux/UNIX,us-west-2
r3.xlarge,4,30.5,81%,<5%,Linux/UNIX,us-west-2
r3.2xlarge,8,61.0,78%,<5%,Linux/UNIX,us-west-2
r3.4xlarge,16,122.0,79%,<5%,Linux/UNIX,us-west-2
r3.8xlarge,32,244.0,80%,<5%,Linux/UNIX,us-west-2
r4.large,2,15.25,75%,<5%,Linux/UNIX,us-west-2
r4.xlarge,4,30.5,75%,<5%,Linux/UNIX,us-west-2
r4.2xlarge,8,61.0,75%,<5%,Linux/UNIX,us-west-2
r4.4xlarge,16,122.0,75%,<5%,Linux/UNIX,us-west-2
r4.8xlarge,32,244.0,75%,10-15%,Linux/UNIX,us-west-2
r4.16xlarge,64,488.0,75%,5-10%,Linux/UNIX,us-west-2
r5.large,2,16.0,72%,<5%,Linux/UNIX,us-west-2
r5.xlarge,4,32.0,72%,<5%,Linux/UNIX,us-west-2
r5.2xlarge,8,64.0,72%,10-15%,Linux/UNIX,us-west-2
r5.4xlarge,16,128.0,64%,>20%,Linux/UNIX,us-west-2
r5.12xlarge,48,384.0,72%,>20%,Linux/UNIX,us-west-2
r5.24xlarge,96,768.0,72%,>20%,Linux/UNIX,us-west-2
r5.metal,96,768.0,81%,>20%,Linux/UNIX,us-west-2
r5a.large,2,16.0,69%,5-10%,Linux/UNIX,us-west-2
r5a.xlarge,4,32.0,69%,>20%,Linux/UNIX,us-west-2
r5a.2xlarge,8,64.0,69%,>20%,Linux/UNIX,us-west-2
r5a.4xlarge,16,128.0,61%,>20%,Linux/UNIX,us-west-2
r5a.12xlarge,48,384.0,0%,<5%,Linux/UNIX,us-west-2
r5a.24xlarge,96,768.0,69%,>20%,Linux/UNIX,us-west-2
r5ad.large,2,16.0,43%,<5%,Linux/UNIX,us-west-2
r5ad.xlarge,4,32.0,19%,<5%,Linux/UNIX,us-west-2
r5ad.2xlarge,8,64.0,44%,<5%,Linux/UNIX,us-west-2
r5ad.4xlarge,16,128.0,0%,<5%,Linux/UNIX,us-west-2
r5ad.12xlarge,48,384.0,0%,<5%,Linux/UNIX,us-west-2
r5ad.24xlarge,96,768.0,0%,<5%,Linux/UNIX,us-west-2
r5d.large,2,16.0,75%,15-20%,Linux/UNIX,us-west-2
r5d.xlarge,4,32.0,75%,>20%,Linux/UNIX,us-west-2
r5d.2xlarge,8,64.0,75%,<5%,Linux/UNIX,us-west-2
r5d.4xlarge,16,128.0,75%,5-10%,Linux/UNIX,us-west-2
r5d.12xlarge,48,384.0,75%,>20%,Linux/UNIX,us-west-2
r5d.24xlarge,96,768.0,75%,>20%,Linux/UNIX,us-west-2
t1.micro,1,0.61,90%,<5%,Linux/UNIX,us-west-2
t2.micro,1,1.0,70%,<5%,Linux/UNIX,us-west-2
t2.small,1,2.0,70%,<5%,Linux/UNIX,us-west-2
t2.medium,2,4.0,70%,<5%,Linux/UNIX,us-west-2
t2.large,2,8.0,70%,<5%,Linux/UNIX,us-west-2
t2.xlarge,4,16.0,70%,<5%,Linux/UNIX,us-west-2
t2.2xlarge,8,32.0,70%,<5%,Linux/UNIX,us-west-2
t3.nano,2,0.5,69%,<5%,Linux/UNIX,us-west-2
t3.micro,2,1.0,70%,<5%,Linux/UNIX,us-west-2
t3.small,2,2.0,70%,<5%,Linux/UNIX,us-west-2
t3.medium,2,4.0,70%,<5%,Linux/UNIX,us-west-2
t3.large,2,8.0,70%,<5%,Linux/UNIX,us-west-2
t3.xlarge,4,16.0,70%,<5%,Linux/UNIX,us-west-2
t3.2xlarge,8,32.0,70%,<5%,Linux/UNIX,us-west-2
t3a.nano,2,0.5,70%,<5%,Linux/UNIX,us-west-2
t3a.micro,2,1.0,70%,5-10%,Linux/UNIX,us-west-2
t3a.small,2,2.0,70%,5-10%,Linux/UNIX,us-west-2
t3a.medium,2,4.0,70%,5-10%,Linux/UNIX,us-west-2
t3a.large,2,8.0,70%,5-10%,Linux/UNIX,us-west-2
t3a.xlarge,4,16.0,70%,10-15%,Linux/UNIX,us-west-2
t3a.2xlarge,8,32.0,70%,5-10%,Linux/UNIX,us-west-2
x1.16xlarge,64,976.0,0%,<5%,Linux/UNIX,us-west-2
x1.32xlarge,128,1952.0,0%,<5%,Linux/UNIX,us-west-2
x1e.xlarge,4,122.0,70%,5-10%,Linux/UNIX,us-west-2
x1e.2xlarge,8,244.0,70%,5-10%,Linux/UNIX,us-west-2
x1e.4xlarge,16,488.0,70%,10-15%,Linux/UNIX,us-west-2
x1e.8xlarge,32,976.0,70%,15-20%,Linux/UNIX,us-west-2
x1e.16xlarge,64,1952.0,0%,<5%,Linux/UNIX,us-west-2
x1e.32xlarge,128,3904.0,67%,>20%,Linux/UNIX,us-west-2
z1d.large,2,16.0,70%,10-15%,Linux/UNIX,us-west-2
z1d.xlarge,4,32.0,70%,>20%,Linux/UNIX,us-west-2
z1d.2xlarge,8,64.0,70%,10-15%,Linux/UNIX,us-west-2
z1d.3xlarge,12,96.0,70%,>20%,Linux/UNIX,us-west-2
z1d.6xlarge,24,192.0,70%,5-10%,Linux/UNIX,us-west-2
z1d.12xlarge,48,384.0,70%,>20%,Linux/UNIX,us-west-2
z1d.metal,48,384.0,70%,>20%,Linux/UNIX,us-west-2
c3.large,2,3.75,40%,<5%,Windows,us-west-2
c3.xlarge,4,7.5,40%,<5%,Windows,us-west-2
c3.2xlarge,8,15.0,40%,5-10%,Windows,us-west-2
c3.4xlarge,16,30.0,40%,5-10%,Windows,us-west-2
c3.8xlarge,32,60.0,40%,5-10%,Windows,us-west-2
c4.large,2,3.75,36%,<5%,Windows,us-west-2
c4.xlarge,4,7.5,36%,<5%,Windows,us-west-2
c4.2xlarge,8,15.0,36%,<5%,Windows,us-west-2
c4.4xlarge,16,30.0,36%,<5%,Windows,us-west-2
c4.8xlarge,36,60.0,36%,<5%,Windows,us-west-2
c5.large,2,4.0,30%,>20%,Windows,us-west-2
c5.xlarge,4,8.0,30%,>20%,Windows,us-west-2
c5.2xlarge,8,16.0,30%,>20%,Windows,us-west-2
c5.4xlarge,16,32.0,30%,10-15%,Windows,us-west-2
c5.9xlarge,36,72.0,30%,>20%,Windows,us-west-2
c5.18xlarge,72,144.0,30%,5-10%,Windows,us-west-2
c5d.large,2,4.0,34%,15-20%,Windows,us-west-2
c5d.xlarge,4,8.0,34%,>20%,Windows,us-west-2
c5d.2xlarge,8,16.0,34%,>20%,Windows,us-west-2
c5d.4xlarge,16,32.0,34%,<5%,Windows,us-west-2
c5d.9xlarge,36,72.0,34%,5-10%,Windows,us-west-2
c5d.18xlarge,72,144.0,34%,>20%,Windows,us-west-2
c5n.large,2,5.25,38%,10-15%,Windows,us-west-2
c5n.xlarge,4,10.5,38%,15-20%,Windows,us-west-2
c5n.2xlarge,8,21.0,38%,10-15%,Windows,us-west-2
c5n.4xlarge,16,42.0,38%,<5%,Windows,us-west-2
c5n.9xlarge,36,96.0,38%,10-15%,Windows,us-west-2
c5n.18xlarge,72,192.0,38%,5-10%,Windows,us-west-2
d2.xlarge,4,30.5,59%,10-15%,Windows,us-west-2
d2.2xlarge,8,61.0,60%,10-15%,Windows,us-west-2
d2.4xlarge,16,122.0,63%,10-15%,Windows,us-west-2
d2.8xlarge,36,244.0,62%,10-15%,Windows,us-west-2
g2.2xlarge,8,15.0,59%,<5%,Windows,us-west-2
g2.8xlarge,32,60.0,63%,<5%,Windows,us-west-2
g3.4xlarge,16,122.0,43%,>20%,Windows,us-west-2
g3s.xlarge,4,30.5,56%,5-10%,Windows,us-west-2
i2.xlarge,4,30.5,61%,10-15%,Windows,us-west-2
i2.2xlarge,8,61.0,61%,5-10%,Windows,us-west-2
i2.4xlarge,16,122.0,61%,10-15%,Windows,us-west-2
i2.8xlarge,32,244.0,61%,10-15%,Windows,us-west-2
i3.xlarge,4,30.5,44%,<5%,Windows,us-west-2
i3.4xlarge,16,122.0,44%,<5%,Windows,us-west-2
m1.small,1,1.7,53%,<5%,Windows,us-west-2
m1.medium,1,3.75,63%,<5%,Windows,us-west-2
m1.large,2,7.5,63%,5-10%,Windows,us-west-2
m1.xlarge,4,15.0,63%,<5%,Windows,us-west-2
m2.xlarge,2,17.1,66%,<5%,Windows,us-west-2
m2.2xlarge,4,34.2,66%,<5%,Windows,us-west-2
m2.4xlarge,8,68.4,66%,<5%,Windows,us-west-2
m3.medium,1,3.75,59%,<5%,Windows,us-west-2
m3.large,2,7.5,53%,<5%,Windows,us-west-2
m3.xlarge,4,15.0,53%,<5%,Windows,us-west-2
m3.2xlarge,8,30.0,53%,<5%,Windows,us-west-2
m4.large,2,8.0,35%,<5%,Windows,us-west-2
m4.xlarge,4,16.0,35%,<5%,Windows,us-west-2
m4.2xlarge,8,32.0,35%,<5%,Windows,us-west-2
m4.4xlarge,16,64.0,35%,>20%,Windows,us-west-2
m4.10xlarge,40,160.0,35%,<5%,Windows,us-west-2
m4.16xlarge,64,256.0,35%,5-10%,Windows,us-west-2
m5.large,2,8.0,33%,<5%,Windows,us-west-2
m5.xlarge,4,16.0,33%,<5%,Windows,us-west-2
m5.2xlarge,8,32.0,33%,10-15%,Windows,us-west-2
m5.4xlarge,16,64.0,33%,5-10%,Windows,us-west-2
m5.12xlarge,48,192.0,33%,15-20%,Windows,us-west-2
m5.24xlarge,96,384.0,33%,<5%,Windows,us-west-2
m5.metal,96,384.0,39%,10-15%,Windows,us-west-2
m5a.large,2,8.0,29%,>20%,Windows,us-west-2
m5a.xlarge,4,16.0,29%,10-15%,Windows,us-west-2
m5a.2xlarge,8,32.0,29%,5-10%,Windows,us-west-2
m5a.4xlarge,16,64.0,29%,>20%,Windows,us-west-2
m5a.12xlarge,48,192.0,0%,<5%,Windows,us-west-2
m5a.24xlarge,96,384.0,29%,10-15%,Windows,us-west-2
m5ad.large,2,8.0,35%,5-10%,Windows,us-west-2
m5ad.xlarge,4,16.0,0%,<5%,Windows,us-west-2
m5ad.2xlarge,8,32.0,0%,<5%,Windows,us-west-2
m5ad.4xlarge,16,64.0,0%,<5%,Windows,us-west-2
m5ad.12xlarge,48,192.0,0%,<5%,Windows,us-west-2
m5ad.24xlarge,96,384.0,35%,10-15%,Windows,us-west-2
m5d.large,2,8.0,39%,5-10%,Windows,us-west-2
m5d.xlarge,4,16.0,39%,<5%,Windows,us-west-2
m5d.2xlarge,8,32.0,39%,>20%,Windows,us-west-2
m5d.4xlarge,16,64.0,39%,5-10%,Windows,us-west-2
m5d.12xlarge,48,192.0,39%,10-15%,Windows,us-west-2
m5d.24xlarge,96,384.0,39%,15-20%,Windows,us-west-2
m5d.metal,96,384.0,44%,>20%,Windows,us-west-2
p2.xlarge,4,61.0,58%,<5%,Windows,us-west-2
p2.8xlarge,32,488.0,58%,<5%,Windows,us-west-2
p3.2xlarge,8,61.0,62%,>20%,Windows,us-west-2
p3.8xlarge,32,244.0,62%,>20%,Windows,us-west-2
p3dn.24xlarge,96,768.0,61%,>20%,Windows,us-west-2
r3.large,2,15.25,57%,5-10%,Windows,us-west-2
r3.xlarge,4,30.5,57%,<5%,Windows,us-west-2
r3.2xlarge,8,61.0,52%,<5%,Windows,us-west-2
r3.4xlarge,16,122.0,55%,<5%,Windows,us-west-2
r3.8xlarge,32,244.0,61%,<5%,Windows,us-west-2
r4.large,2,15.25,44%,<5%,Windows,us-west-2
r4.xlarge,4,30.5,44%,<5%,Windows,us-west-2
r4.2xlarge,8,61.0,44%,<5%,Windows,us-west-2
r4.4xlarge,16,122.0,44%,<5%,Windows,us-west-2
r4.8xlarge,32,244.0,44%,>20%,Windows,us-west-2
r4.16xlarge,64,488.0,44%,<5%,Windows,us-west-2
r5.large,2,16.0,42%,<5%,Windows,us-west-2
r5.xlarge,4,32.0,42%,5-10%,Windows,us-west-2
r5.2xlarge,8,64.0,42%,5-10%,Windows,us-west-2
r5.4xlarge,16,128.0,42%,>20%,Windows,us-west-2
r5.12xlarge,48,384.0,42%,>20%,Windows,us-west-2
r5.24xlarge,96,768.0,42%,5-10%,Windows,us-west-2
r5.metal,96,768.0,47%,>20%,Windows,us-west-2
r5a.large,2,16.0,38%,10-15%,Windows,us-west-2
r5a.xlarge,4,32.0,38%,10-15%,Windows,us-west-2
r5a.2xlarge,8,64.0,38%,<5%,Windows,us-west-2
r5a.4xlarge,16,128.0,34%,<5%,Windows,us-west-2
r5a.12xlarge,48,384.0,0%,<5%,Windows,us-west-2
r5a.24xlarge,96,768.0,38%,<5%,Windows,us-west-2
r5ad.large,2,16.0,27%,<5%,Windows,us-west-2
r5ad.xlarge,4,32.0,10%,<5%,Windows,us-west-2
r5ad.2xlarge,8,64.0,25%,<5%,Windows,us-west-2
r5ad.4xlarge,16,128.0,0%,<5%,Windows,us-west-2
r5ad.12xlarge,48,384.0,0%,<5%,Windows,us-west-2
r5ad.24xlarge,96,768.0,0%,<5%,Windows,us-west-2
r5d.large,2,16.0,46%,5-10%,Windows,us-west-2
r5d.xlarge,4,32.0,46%,<5%,Windows,us-west-2
r5d.2xlarge,8,64.0,46%,10-15%,Windows,us-west-2
r5d.4xlarge,16,128.0,46%,5-10%,Windows,us-west-2
r5d.12xlarge,48,384.0,46%,10-15%,Windows,us-west-2
r5d.24xlarge,96,768.0,46%,10-15%,Windows,us-west-2
t1.micro,1,0.61,90%,<5%,Windows,us-west-2
t2.micro,1,1.0,50%,5-10%,Windows,us-west-2
t2.small,1,2.0,50%,<5%,Windows,us-west-2
t2.medium,2,4.0,50%,<5%,Windows,us-west-2
t2.large,2,8.0,54%,5-10%,Windows,us-west-2
t2.xlarge,4,16.0,57%,<5%,Windows,us-west-2
t2.2xlarge,8,32.0,60%,<5%,Windows,us-west-2
t3.nano,2,0.5,37%,<5%,Windows,us-west-2
t3.micro,2,1.0,37%,5-10%,Windows,us-west-2
t3.small,2,2.0,37%,5-10%,Windows,us-west-2
t3.medium,2,4.0,48%,5-10%,Windows,us-west-2
t3.large,2,8.0,52%,5-10%,Windows,us-west-2
t3.xlarge,4,16.0,48%,<5%,Windows,us-west-2
t3.2xlarge,8,32.0,48%,<5%,Windows,us-west-2
t3a.nano,2,0.5,35%,10-15%,Windows,us-west-2
t3a.micro,2,1.0,35%,10-15%,Windows,us-west-2
t3a.small,2,2.0,35%,15-20%,Windows,us-west-2
t3a.medium,2,4.0,47%,10-15%,Windows,us-west-2
t3a.large,2,8.0,51%,10-15%,Windows,us-west-2
t3a.xlarge,4,16.0,47%,<5%,Windows,us-west-2
t3a.2xlarge,8,32.0,47%,10-15%,Windows,us-west-2
x1.16xlarge,64,976.0,0%,<5%,Windows,us-west-2
x1.32xlarge,128,1952.0,0%,<5%,Windows,us-west-2
x1e.xlarge,4,122.0,57%,15-20%,Windows,us-west-2
x1e.2xlarge,8,244.0,57%,>20%,Windows,us-west-2
x1e.4xlarge,16,488.0,57%,5-10%,Windows,us-west-2
x1e.8xlarge,32,976.0,57%,>20%,Windows,us-west-2
x1e.16xlarge,64,1952.0,0%,<5%,Windows,us-west-2
x1e.32xlarge,128,3904.0,55%,>20%,Windows,us-west-2
z1d.large,2,16.0,47%,5-10%,Windows,us-west-2
z1d.xlarge,4,32.0,47%,>20%,Windows,us-west-2
z1d.2xlarge,8,64.0,47%,15-20%,Windows,us-west-2
z1d.3xlarge,12,96.0,47%,>20%,Windows,us-west-2
z1d.6xlarge,24,192.0,47%,>20%,Windows,us-west-2
z1d.12xlarge,48,384.0,47%,10-15%,Windows,us-west-2
z1d.metal,48,384.0,47%,>20%,Windows,us-west-2
